cmd,pageIndex,pageSubIndex,pageUnit,pageSize,subPageSize,firstIndex,lastIndex,recordCountPerPage,currentPage,searchWord,searchKey,sgId,subSgId,sgName,menuId,menuName,upperMenuId,urlPathName,menuDepth,menuSgId,cvId,cvName,wiwsidocode,wiwid,wiwname,sortYn,sggid,sggname,hSgId,hRegionId,hGuId,hSggId,sgBireYn,jdid,jdname,huboid,hbjname,hbjgiho,hbjjikup,hbjhakruk,cnt,sgTypecode,filename,fileinfo,fileTypeCode,filePathName,updtFileName,fileTypeName,psgId,psidoId,pwiwid,psggid,psubSgId,roleId,phGuId,atchSeqNo,hbjgihosangse,hSubSgId,psggname,elecEndYn,fileDispYn,pdfLink
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2290201,서구갑,,,,,,2080,민생당,100134696,김명진,3,정당인,한국외국어대학교 대학원 졸업(정치학 석사),42,,Gsg2902/Hb100134696/gicho/thumbnail.100134696.JPG,선거공보||20200415/PDF/PBINFO/2902/003_100134696_20200401_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134696.pdf&requestedFullPath=20200415/PDF/PBINFO/2902/003_100134696_20200401_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300101,동구,,,,,,100,더불어민주당,100134631,장철민,1,정당인,서울대학교 정치학과 졸업,28,,Gsg3001/Hb100134631/gicho/thumbnail.100134631.JPEG,선거공보||20200415/PDF/PBINFO/3001/003_100134631_20200330_2.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134631.pdf&requestedFullPath=20200415/PDF/PBINFO/3001/003_100134631_20200330_2.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300101,동구,,,,,,200,미래통합당,100137294,이장우,2,국회의원,대전대학교 대학원 행정학과 졸업(행정학 박사),28,,Gsg3001/Hb100137294/gicho/thumbnail.100137294.JPG,선거공보||20200415/PDF/PBINFO/3001/003_100137294_20200330_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137294.pdf&requestedFullPath=20200415/PDF/PBINFO/3001/003_100137294_20200330_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300101,동구,,,,,,5031,국가혁명배당금당,100135352,송인경,7,정당인,공주교육대학교 초등교육과 졸업,28,,Gsg3001/Hb100135352/gicho/thumbnail.100135352.JPG,선거공보||20200415/PDF/PBINFO/3001/003_100135352_20200330_2.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135352.pdf&requestedFullPath=20200415/PDF/PBINFO/3001/003_100135352_20200330_2.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300201,중구,,,,,,100,더불어민주당,100136669,황운하,1,정당인,성균관대학교 대학원 졸업(법학박사),28,,Gsg3002/Hb100136669/gicho/thumbnail.100136669.JPG,선거공보||20200415/PDF/PBINFO/3002/003_100136669_20200331_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100136669.pdf&requestedFullPath=20200415/PDF/PBINFO/3002/003_100136669_20200331_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300201,중구,,,,,,200,미래통합당,100137287,이은권,2,국회의원,단국대학교 행정법무대학원 졸업(행정학 석사),28,,Gsg3002/Hb100137287/gicho/thumbnail.100137287.JPG,선거공보||20200415/PDF/PBINFO/3002/003_100137287_20200331_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137287.pdf&requestedFullPath=20200415/PDF/PBINFO/3002/003_100137287_20200331_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300201,중구,,,,,,5031,국가혁명배당금당,100135787,홍세영,7,한의사,대전대학교 대학원 한의학과 졸업(석사),28,,Gsg3002/Hb100135787/gicho/thumbnail.100135787.JPG,선거공보||20200415/PDF/PBINFO/3002/003_100135787_20200331_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135787.pdf&requestedFullPath=20200415/PDF/PBINFO/3002/003_100135787_20200331_1.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300301,서구갑,,,,,,100,더불어민주당,100137585,박병석,1,국회의원,한양대학교 대학원 박사과정 수료,28,,Gsg3003/Hb100137585/gicho/thumbnail.100137585.JPG,선거공보||20200415/PDF/PBINFO/3003/003_100137585_20200404_3.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100137585.pdf&requestedFullPath=20200415/PDF/PBINFO/3003/003_100137585_20200404_3.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300301,서구갑,,,,,,200,미래통합당,100134679,이영규,2,변호사,서울대학교 행정대학원 졸업(행정학석사),28,,Gsg3003/Hb100134679/gicho/thumbnail.100134679.JPG,선거공보||20200415/PDF/PBINFO/3003/003_100134679_20200404_6.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100134679.pdf&requestedFullPath=20200415/PDF/PBINFO/3003/003_100134679_20200404_6.pdf
I,1,1,10,10,10,1,1,10,1,,,20200415,,,,,,,,,,,,,,,2300301,서구갑,,,,,,5031,국가혁명배당금당,100135357,김순자,7,중소기업임원,미기재,28,,Gsg3003/Hb100135357/gicho/thumbnail.100135357.JPG,선거공보||20200415/PDF/PBINFO/3003/003_100135357_20200403_1.pdf||,,,,,,,,,,,,,,,,,Y,http://policy.nec.go.kr/plc/common/downloadFile.do?requestedFileName=100135357.pdf&requestedFullPath=20200415/PDF/PBINFO/3003/003_100135357_20200403_1.pdf
